day,casual,member,total
Sunday,22.81564060,12.97480732,17.55352722
Monday,19.36894431,11.34577856,13.91579765
Tuesday,17.47631635,11.37134027,13.13834914
Wednesday,17.16968480,11.38615486,13.12400191
Thursday,17.72591977,11.45033439,13.46971656
Friday,19.52907438,11.74235137,14.70608115
Saturday,22.61725650,13.02810182,17.64091347
Total,19.96142222,11.82610030,14.80897450
